iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
RTW,Saratov,Russia,51.3344,46.023,152.0,6.0,N,0.0
TGU,Tegucigalpa,Honduras,14.0609,-87.2172,3294.0,-6.0,U,0.0
ULN,Ulan Bator,Mongolia,47.8431,106.767,4364.0,8.0,U,0.0
AQP,Arequipa,Peru,-16.3411,-71.5831,8405.0,-5.0,U,0.0
VOZ,Voronezh,Russia,51.8142,39.2296,514.0,4.0,N,0.0
PDG,Padang,Indonesia,-0.874989,100.352,9.0,7.0,N,0.0
TUC,Tucuman,Argentina,-26.8409,-65.1049,1495.0,-3.0,N,0.0
YEG,Edmonton,Canada,53.3097,-113.58,2373.0,-7.0,A,0.0
JOS,Jos,Nigeria,9.63983,8.86905,4232.0,1.0,N,0.0
ILR,Ilorin,Nigeria,8.44021,4.49392,1126.0,1.0,N,0.0
LPB,La Paz,Bolivia,-16.5133,-68.1923,13325.0,-4.0,U,0.0
BRM,Barquisimeto,Venezuela,10.0427,-69.3586,2042.0,-4.0,U,0.0
NNG,Nanning,China,22.6083,108.172,421.0,8.0,U,0.0
JHB,Johor Bahru,Malaysia,1.64131,103.67,135.0,8.0,N,0.0
MBA,Mombasa,Kenya,-4.03483,39.5942,200.0,3.0,U,0.0
KTM,Kathmandu,Nepal,27.6966,85.3591,4390.0,5.0,N,0.0
HET,Hohhot,China,40.8514,111.824,3556.0,8.0,U,0.0
NIM,Niamey,Niger,13.4815,2.18361,732.0,1.0,N,0.0
XNN,Xining,China,36.5275,102.043,0.0,8.0,U,0.0
KSH,Bakhtaran,Iran,34.3459,47.1581,4301.0,4.0,E,0.0
LZH,Liuzhou,China,24.2075,109.391,295.0,8.0,U,0.0
NAT,Natal,Brazil,-5.91142,-35.2477,169.0,-3.0,S,0.0
BBI,Bhubaneswar,India,20.2444,85.8178,138.0,6.0,N,0.0
BPE,Bagan,Burma,21.1738,94.9247,0.0,6.0,U,0.0
CEB,Cebu,Philippines,10.3075,123.979,31.0,8.0,N,0.0
ISB,Islamabad,Pakistan,33.6167,73.0992,1668.0,5.0,N,0.0
PZB,Pietermaritzburg,South Africa,-29.649,30.3987,2423.0,2.0,U,0.0
TRU,Trujillo,Peru,-8.08141,-79.1088,106.0,-5.0,U,0.0
MLG,Malang,Indonesia,-7.92656,112.715,1726.0,7.0,N,0.0
KGL,Kigali,Rwanda,-1.96863,30.1395,4859.0,2.0,U,0.0
THE,Teresina,Brazil,-5.05994,-42.8235,219.0,-3.0,S,0.0
TNN,Tainan,Taiwan,22.9504,120.206,63.0,8.0,U,0.0
UET,Quetta,Pakistan,30.2514,66.9378,5267.0,5.0,N,0.0
CUC,Cucuta,Colombia,7.92757,-72.5115,1096.0,-5.0,U,0.0
NGB,Ninbo,China,29.8267,121.462,13.0,8.0,U,0.0
YNT,Yantai,China,37.4017,121.372,59.0,8.0,U,0.0
MID,Merida,Mexico,20.937,-89.6577,38.0,-6.0,S,0.0
CUU,Chihuahua,Mexico,28.7029,-105.965,4462.0,-6.0,S,0.0
RJH,Rajshahi,Bangladesh,24.4372,88.6165,64.0,6.0,U,0.0
TUN,Tunis,Tunisia,36.851,10.2272,22.0,0.0,E,0.0
COO,Cotonou,Benin,6.35723,2.38435,19.0,1.0,N,0.0
LPG,La Plata,Argentina,-34.9722,-57.8947,72.0,-3.0,N,0.0
BGF,Bangui,Central African Republic,4.39848,18.5188,1208.0,1.0,N,0.0
RPR,Raipur,India,21.1804,81.7388,1041.0,5.0,N,0.0
SLP,San Luis Potosi,Mexico,22.2543,-100.931,6035.0,-6.0,S,0.0
GOP,Gorakhpur,India,26.7397,83.4497,259.0,5.0,N,0.0
IPH,Ipoh,Malaysia,4.56797,101.092,130.0,8.0,N,0.0
NTG,Nantong,China,32.0708,120.976,0.0,8.0,U,0.0
MDG,Mudanjiang,China,44.5239,129.569,883.0,8.0,U,0.0
AGU,Aguascalientes,Mexico,21.7056,-102.318,6112.0,-6.0,S,0.0
ENU,Enugu,Nigeria,6.47427,7.56196,466.0,1.0,N,0.0
ACA,Acapulco,Mexico,16.7571,-99.754,16.0,-6.0,S,0.0
JPA,Joao Pessoa,Brazil,-7.14838,-34.9507,215.0,-3.0,S,0.0
BEN,Benghazi,Libya,32.0968,20.2695,433.0,1.0,N,0.0
KWL,Guilin,China,25.2181,110.039,570.0,8.0,U,0.0
CMB,Colombo,Sri Lanka,7.18076,79.8841,30.0,6.0,U,0.0
LLW,Lilongwe,Malawi,-13.7894,33.781,4035.0,2.0,U,0.0
MDQ,Mar Del Plata,Argentina,-37.9342,-57.5733,71.0,-3.0,N,0.0
ULV,Ulyanovsk,Russia,54.2683,48.2267,463.0,4.0,N,0.0
ZHA,Zhanjiang,China,21.2144,110.358,0.0,8.0,U,0.0
JOG,Yogyakarta,Indonesia,-7.78818,110.432,350.0,7.0,N,0.0
YWG,Winnipeg,Canada,49.91,-97.2399,783.0,-6.0,A,0.0
DDG,Dandong,China,40.0255,124.287,0.0,8.0,N,0.0
IJK,Izhevsk,Russia,56.8281,53.4575,531.0,6.0,N,0.0
YNZ,Yancheng,China,33.3856,120.125,0.0,8.0,U,0.0
FUO,Foshan,China,23.1333,113.283,8.0,8.0,N,0.0
SLW,Saltillo,Mexico,25.5495,-100.929,4778.0,-6.0,S,0.0
HAK,Haikou,China,19.9349,110.459,75.0,8.0,U,0.0
QRO,Queretaro,Mexico,20.6173,-100.186,6296.0,-6.0,S,0.0
IAR,Yaroslavl,Russia,57.5607,40.1574,270.0,4.0,N,0.0
COK,Kochi,India,10.1556,76.3914,8.0,5.0,N,0.0
KCZ,Kochi,Japan,33.5461,133.669,42.0,9.0,U,0.0
JNZ,Jinzhou,China,41.1014,121.062,0.0,8.0,U,0.0
HPH,Haiphong,Vietnam,20.8194,106.725,6.0,7.0,U,0.0
BAX,Barnaul,Russia,53.3638,83.5385,838.0,7.0,N,0.0
MXL,Mexicali,Mexico,32.6306,-115.242,74.0,-8.0,S,0.0
HMO,Hermosillo,Mexico,29.0959,-111.048,627.0,-7.0,S,0.0
RAS,Rasht,Iran,37.3253,49.6058,-40.0,4.0,E,0.0
ASR,Kayseri,Turkey,38.7704,35.4954,3463.0,2.0,E,0.0
MLM,Morelia,Mexico,19.8499,-101.025,6033.0,-6.0,S,0.0
VVO,Vladivostok,Russia,43.399,132.148,46.0,11.0,N,0.0
BLZ,Blantyre,Malawi,-15.6791,34.974,2555.0,2.0,U,0.0
KIN,Kingston,Jamaica,17.9357,-76.7875,10.0,-5.0,U,0.0
CIX,Chiclayo,Peru,-6.78748,-79.8281,97.0,-5.0,U,0.0
